id;peer;task;date
1;sellersh;C1;2023-09-21
4;umberbun;C1;2023-09-21
2;deannven;C1;2023-09-21
9;georgean;C1;2023-09-25
5;ninetalm;C1;2023-09-21
12;umberbun;C2;2023-09-25
10;umberbun;C1;2023-09-25
7;deannven;C1;2023-09-21
6;deannven;C1;2023-09-21
11;georgean;C2;2023-09-25
8;deannven;C2;2023-09-25
3;georgean;C1;2023-09-21
13;georgean;CPP1;2023-09-26
14;deannven;C2;2023-09-26
15;deannven;CPP1;2023-09-26
16;deannven;SQL1;2023-09-26
17;peer_for_dr;C1;2023-09-26
18;peer_for_dr2;C1;2023-09-26
19;peer_for_dr3;C1;2023-09-26
